nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Egipto,109300000,1002450,África
Australia,25690000,7692024,Oceanía
Canadá,38250000,9984670,América
España,47420000,505990,Europa
Sudáfrica,59390000,1221037,África
China,1412000000,9596961,Asia
Francia,67750000,551695,Europa
India,1408000000,3287263,Asia
Uruguay,34260000,176215,América
Italia,59110000,301340,Europa
Nueva Zelanda,5120000,268021,Oceanía

